object,image,force,mask
Cross,data_all/cross7/tactile_nobg/1713314443369.png,"[0.048, -0.069, -1.775]",data_all/cross7/depth_align_cross7/1713314467489_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713325931019.png,"[0.118, -0.245, -6.036]",data_all/cross7/depth_align_cross7/1713325942336_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713318297776.png,"[0.248, 0.129, -16.011]",data_all/cross7/depth_align_cross7/1713318297776_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713287023218.png,"[0.009, -0.004, -1.075]",data_all/cross7/depth_align_cross7/1713287048560_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713287786747.png,"[0.11, -0.276, -4.893]",data_all/cross7/depth_align_cross7/1713287798614_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713311999156.png,"[0.052, 0.125, -6.706]",data_all/cross7/depth_align_cross7/1713312010770_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713300794445.png,"[-0.059, -0.003, -1.788]",data_all/cross7/depth_align_cross7/1713300822348_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713305103348.png,"[0.392, 0.071, -8.253]",data_all/cross7/depth_align_cross7/1713305107058_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713314494818.png,"[0.194, -0.223, -6.769]",data_all/cross7/depth_align_cross7/1713314510762_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713309158756.png,"[0.185, 0.163, -4.752]",data_all/cross7/depth_align_cross7/1713309166274_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713299767500.png,"[-0.274, 0.151, -6.316]",data_all/cross7/depth_align_cross7/1713299779276_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713325565588.png,"[0.307, -0.134, -9.79]",data_all/cross7/depth_align_cross7/1713325569345_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713284156857.png,"[-0.053, -0.076, -1.261]",data_all/cross7/depth_align_cross7/1713284184680_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713293385986.png,"[0.367, 0.267, -6.37]",data_all/cross7/depth_align_cross7/1713293385986_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713290804274.png,"[-0.086, -0.068, -1.354]",data_all/cross7/depth_align_cross7/1713290828627_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713319028181.png,"[0.291, 0.124, -8.701]",data_all/cross7/depth_align_cross7/1713319036101_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713317986366.png,"[0.106, 0.089, -8.739]",data_all/cross7/depth_align_cross7/1713317994331_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713317721104.png,"[-0.255, -0.243, -9.26]",data_all/cross7/depth_align_cross7/1713317733278_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713289747953.png,"[0.135, 0.724, -11.141]",data_all/cross7/depth_align_cross7/1713289747953_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713295669799.png,"[-0.015, 0.075, -3.28]",data_all/cross7/depth_align_cross7/1713295691132_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713298488174.png,"[-0.023, -0.078, -1.007]",data_all/cross7/depth_align_cross7/1713298515619_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713303812970.png,"[-0.052, -0.124, -7.026]",data_all/cross7/depth_align_cross7/1713303824597_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713320486848.png,"[-0.042, 0.183, -2.245]",data_all/cross7/depth_align_cross7/1713320509805_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713288084678.png,"[0.068, -0.059, -3.593]",data_all/cross7/depth_align_cross7/1713288101051_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713321107884.png,"[-0.038, 0.048, -1.371]",data_all/cross7/depth_align_cross7/1713321134759_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713307727059.png,"[0.128, -0.042, -3.475]",data_all/cross7/depth_align_cross7/1713307747261_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713283492976.png,"[-0.11, 0.607, -6.064]",data_all/cross7/depth_align_cross7/1713283496829_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713321792428.png,"[-0.201, 0.158, -10.713]",data_all/cross7/depth_align_cross7/1713321799948_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713329703982.png,"[-0.091, -0.023, -1.253]",data_all/cross7/depth_align_cross7/1713329730876_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713316881499.png,"[-0.033, 0.312, -14.398]",data_all/cross7/depth_align_cross7/1713316881499_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713327452849.png,"[-0.014, -0.001, -2.122]",data_all/cross7/depth_align_cross7/1713327479916_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713305640208.png,"[-0.217, 0.968, -12.431]",data_all/cross7/depth_align_cross7/1713305640208_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713321452837.png,"[-0.02, 0.255, -6.762]",data_all/cross7/depth_align_cross7/1713321468078_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713329965122.png,"[0.218, -0.169, -4.852]",data_all/cross7/depth_align_cross7/1713329980396_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713316610709.png,"[0.116, 0.071, -2.093]",data_all/cross7/depth_align_cross7/1713316633412_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713320578076.png,"[-0.157, 0.233, -5.192]",data_all/cross7/depth_align_cross7/1713320593310_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713320114665.png,"[0.075, -0.086, -2.686]",data_all/cross7/depth_align_cross7/1713320134055_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713326226015.png,"[-0.198, 0.294, -6.847]",data_all/cross7/depth_align_cross7/1713326233579_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713306760194.png,"[-0.086, 0.03, -1.694]",data_all/cross7/depth_align_cross7/1713306790517_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713322391185.png,"[0.012, 0.135, -6.489]",data_all/cross7/depth_align_cross7/1713322407331_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713287175109.png,"[0.161, 0.165, -7.746]",data_all/cross7/depth_align_cross7/1713287183574_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713322888588.png,"[0.118, 0.433, -8.967]",data_all/cross7/depth_align_cross7/1713322892599_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713299992429.png,"[-0.267, 0.538, -9.959]",data_all/cross7/depth_align_cross7/1713299996236_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713296566407.png,"[0.037, 0.231, -5.406]",data_all/cross7/depth_align_cross7/1713296582534_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713317106146.png,"[-0.085, -0.037, -3.111]",data_all/cross7/depth_align_cross7/1713317129139_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713310514296.png,"[-0.202, 0.301, -5.553]",data_all/cross7/depth_align_cross7/1713310525817_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713308413704.png,"[0.006, 0.05, -1.263]",data_all/cross7/depth_align_cross7/1713308437747_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713294455130.png,"[-0.181, 0.276, -5.897]",data_all/cross7/depth_align_cross7/1713294463544_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713285582148.png,"[0.085, 0.056, -3.544]",data_all/cross7/depth_align_cross7/1713285598865_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713303977071.png,"[0.187, 0.136, -4.904]",data_all/cross7/depth_align_cross7/1713303992559_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713310349640.png,"[-0.041, 0.298, -4.373]",data_all/cross7/depth_align_cross7/1713310361161_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713284869643.png,"[0.125, 0.646, -9.282]",data_all/cross7/depth_align_cross7/1713284877546_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713329927512.png,"[0.205, 0.162, -5.906]",data_all/cross7/depth_align_cross7/1713329939079_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713323063756.png,"[-0.158, -0.073, -11.543]",data_all/cross7/depth_align_cross7/1713323067819_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713321298020.png,"[-0.37, 0.197, -10.877]",data_all/cross7/depth_align_cross7/1713321301880_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713291633310.png,"[0.008, 0.093, -2.729]",data_all/cross7/depth_align_cross7/1713291653745_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713325482995.png,"[0.385, 0.039, -9.299]",data_all/cross7/depth_align_cross7/1713325486800_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713328710500.png,"[0.109, 0.086, -3.638]",data_all/cross7/depth_align_cross7/1713328729848_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713284520415.png,"[-0.061, 0.239, -6.831]",data_all/cross7/depth_align_cross7/1713284528374_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713326002840.png,"[-0.087, 0.051, -2.955]",data_all/cross7/depth_align_cross7/1713326025676_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713291586737.png,"[0.073, -0.144, -2.541]",data_all/cross7/depth_align_cross7/1713291610173_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713295615819.png,"[0.051, -0.005, -1.121]",data_all/cross7/depth_align_cross7/1713295645615_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713323237493.png,"[0.119, 0.308, -13.329]",data_all/cross7/depth_align_cross7/1713323241556_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713285989647.png,"[0.07, 0.091, -1.409]",data_all/cross7/depth_align_cross7/1713286010324_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713283569933.png,"[-0.119, 0.384, -3.603]",data_all/cross7/depth_align_cross7/1713283581992_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713323688091.png,"[0.097, 0.136, -3.182]",data_all/cross7/depth_align_cross7/1713323708091_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713330135301.png,"[0.326, 0.029, -6.53]",data_all/cross7/depth_align_cross7/1713330146876_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713304771448.png,"[0.521, -0.037, -9.876]",data_all/cross7/depth_align_cross7/1713304779059_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713289963792.png,"[0.261, 1.008, -12.615]",data_all/cross7/depth_align_cross7/1713289963792_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713326921215.png,"[0.01, 0.08, -3.392]",data_all/cross7/depth_align_cross7/1713326940303_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713303855376.png,"[0.276, 0.32, -6.68]",data_all/cross7/depth_align_cross7/1713303867256_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713307141286.png,"[0.039, 0.168, -5.073]",data_all/cross7/depth_align_cross7/1713307159834_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713303778840.png,"[0.215, 0.194, -10.017]",data_all/cross7/depth_align_cross7/1713303782600_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713312334033.png,"[0.157, 0.171, -9.8]",data_all/cross7/depth_align_cross7/1713312341895_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713311003471.png,"[-0.062, 0.159, -3.047]",data_all/cross7/depth_align_cross7/1713311022606_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713328409768.png,"[0.015, 0.063, -1.268]",data_all/cross7/depth_align_cross7/1713328436768_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713302346042.png,"[0.198, 0.937, -15.744]",data_all/cross7/depth_align_cross7/1713302346042_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713296796841.png,"[0.342, 0.813, -13.13]",data_all/cross7/depth_align_cross7/1713296800698_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713294768986.png,"[-0.163, 0.127, -5.034]",data_all/cross7/depth_align_cross7/1713294781755_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713315655479.png,"[-0.141, 0.017, -2.559]",data_all/cross7/depth_align_cross7/1713315679651_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713286913683.png,"[0.584, 0.801, -11.797]",data_all/cross7/depth_align_cross7/1713286913683_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713316776243.png,"[-0.079, 0.067, -4.029]",data_all/cross7/depth_align_cross7/1713316795391_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713310939750.png,"[0.12, 0.682, -10.823]",data_all/cross7/depth_align_cross7/1713310939750_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713320756973.png,"[-0.174, 0.874, -10.172]",data_all/cross7/depth_align_cross7/1713320760733_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713290050084.png,"[0.109, 0.503, -11.918]",data_all/cross7/depth_align_cross7/1713290050084_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713306202938.png,"[0.023, 0.477, -8.018]",data_all/cross7/depth_align_cross7/1713306214165_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713307070763.png,"[-0.059, 0.512, -13.569]",data_all/cross7/depth_align_cross7/1713307078231_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713303280520.png,"[0.61, 0.589, -11.058]",data_all/cross7/depth_align_cross7/1713303280520_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713322555851.png,"[-0.065, 0.093, -3.062]",data_all/cross7/depth_align_cross7/1713322567884_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713328604320.png,"[0.493, 0.732, -14.159]",data_all/cross7/depth_align_cross7/1713328604320_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713327744987.png,"[0.002, -0.046, -2.329]",data_all/cross7/depth_align_cross7/1713327771696_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713288270859.png,"[0.425, -0.263, -8.009]",data_all/cross7/depth_align_cross7/1713288274865_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713302563512.png,"[-0.021, 0.068, -6.418]",data_all/cross7/depth_align_cross7/1713302579354_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713285948542.png,"[0.076, 0.121, -4.435]",data_all/cross7/depth_align_cross7/1713285965464_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713287121778.png,"[0.156, 0.066, -3.331]",data_all/cross7/depth_align_cross7/1713287138302_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713319544243.png,"[0.11, -0.304, -7.151]",data_all/cross7/depth_align_cross7/1713319555573_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713302632389.png,"[-0.029, -0.086, -2.867]",data_all/cross7/depth_align_cross7/1713302651642_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713322693598.png,"[0.068, 0.751, -13.68]",data_all/cross7/depth_align_cross7/1713322693598_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713327143810.png,"[0.038, 0.709, -10.868]",data_all/cross7/depth_align_cross7/1713327147566_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713288728528.png,"[-0.039, 0.07, -1.995]",data_all/cross7/depth_align_cross7/1713288752518_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713295083379.png,"[0.001, 0.152, -3.633]",data_all/cross7/depth_align_cross7/1713295100607_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713313906911.png,"[0.588, 0.471, -10.52]",data_all/cross7/depth_align_cross7/1713313914879_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713307313460.png,"[0.041, 0.201, -7.262]",data_all/cross7/depth_align_cross7/1713307317420_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713296987083.png,"[0.038, -0.028, -1.366]",data_all/cross7/depth_align_cross7/1713297014931_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713297179318.png,"[0.266, -0.026, -10.11]",data_all/cross7/depth_align_cross7/1713297187383_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713296383293.png,"[-0.066, -0.113, -3.156]",data_all/cross7/depth_align_cross7/1713296407531_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713300618899.png,"[-0.016, -0.074, -1.606]",data_all/cross7/depth_align_cross7/1713300646602_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713300011557.png,"[-0.01, -0.073, -1.631]",data_all/cross7/depth_align_cross7/1713300039397_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713323003448.png,"[0.044, 0.094, -3.187]",data_all/cross7/depth_align_cross7/1713323023654_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713310556022.png,"[-0.196, 0.196, -6.101]",data_all/cross7/depth_align_cross7/1713310567541_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713321218543.png,"[-0.257, 0.538, -12.387]",data_all/cross7/depth_align_cross7/1713321218543_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713307990172.png,"[0.257, 0.181, -4.397]",data_all/cross7/depth_align_cross7/1713308006160_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713316196496.png,"[0.01, 0.026, -1.856]",data_all/cross7/depth_align_cross7/1713316223123_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713325587678.png,"[0.023, -0.059, -1.879]",data_all/cross7/depth_align_cross7/1713325610662_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713306617275.png,"[0.06, 0.04, -10.253]",data_all/cross7/depth_align_cross7/1713306624693_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713293282128.png,"[0.101, -0.004, -3.738]",data_all/cross7/depth_align_cross7/1713293298903_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713316573672.png,"[-0.029, 0.092, -5.07]",data_all/cross7/depth_align_cross7/1713316592464_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713328047182.png,"[0.11, 0.191, -7.465]",data_all/cross7/depth_align_cross7/1713328062409_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713297678508.png,"[0.121, 0.116, -2.599]",data_all/cross7/depth_align_cross7/1713297702446_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713318980612.png,"[0.303, 0.355, -5.465]",data_all/cross7/depth_align_cross7/1713318992594_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713326298062.png,"[-0.048, 0.29, -4.537]",data_all/cross7/depth_align_cross7/1713326317101_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713302769076.png,"[-0.036, 0.23, -6.879]",data_all/cross7/depth_align_cross7/1713302780707_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713288172848.png,"[0.241, 0.114, -2.38]",data_all/cross7/depth_align_cross7/1713288188521_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713313821906.png,"[0.138, 0.054, -9.943]",data_all/cross7/depth_align_cross7/1713313829777_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713305844871.png,"[-0.448, 0.289, -12.509]",data_all/cross7/depth_align_cross7/1713305844871_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713310608570.png,"[-0.399, 0.412, -9.855]",data_all/cross7/depth_align_cross7/1713310608570_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713302882181.png,"[-0.121, -0.035, -2.876]",data_all/cross7/depth_align_cross7/1713302905194_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713325980553.png,"[0.008, 0.616, -5.676]",data_all/cross7/depth_align_cross7/1713325984358_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713290687611.png,"[-0.026, 0.186, -5.064]",data_all/cross7/depth_align_cross7/1713290699532_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713314715599.png,"[0.315, 0.009, -6.973]",data_all/cross7/depth_align_cross7/1713314727734_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713328785974.png,"[0.027, -0.052, -1.473]",data_all/cross7/depth_align_cross7/1713328812532_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713288878332.png,"[-0.132, 0.624, -7.522]",data_all/cross7/depth_align_cross7/1713288882389_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713329184484.png,"[0.358, 0.439, -10.591]",data_all/cross7/depth_align_cross7/1713329188439_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713294347711.png,"[-0.061, -0.002, -1.444]",data_all/cross7/depth_align_cross7/1713294372701_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713311617133.png,"[0.025, 0.19, -1.67]",data_all/cross7/depth_align_cross7/1713311639918_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713330306237.png,"[0.218, -0.262, -7.446]",data_all/cross7/depth_align_cross7/1713330313904_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713312040911.png,"[-0.076, 0.053, -8.896]",data_all/cross7/depth_align_cross7/1713312051971_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713295711212.png,"[-0.019, -0.02, -1.67]",data_all/cross7/depth_align_cross7/1713295736551_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713312513080.png,"[0.356, 0.709, -16.216]",data_all/cross7/depth_align_cross7/1713312513080_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713302248772.png,"[-0.21, 0.372, -12.291]",data_all/cross7/depth_align_cross7/1713302248772_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713319497819.png,"[0.129, 0.008, -4.237]",data_all/cross7/depth_align_cross7/1713319514114_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713296335315.png,"[-0.079, -0.074, -1.185]",data_all/cross7/depth_align_cross7/1713296363965_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713324051272.png,"[-0.035, 0.113, -8.4]",data_all/cross7/depth_align_cross7/1713324059540_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713288566331.png,"[-0.077, 0.318, -4.656]",data_all/cross7/depth_align_cross7/1713288578347_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713327189109.png,"[0.32, 1.066, -15.678]",data_all/cross7/depth_align_cross7/1713327189109_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713292279422.png,"[0.033, -0.056, -1.75]",data_all/cross7/depth_align_cross7/1713292303761_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713325060651.png,"[0.242, -0.46, -13.352]",data_all/cross7/depth_align_cross7/1713325060651_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713315011361.png,"[0.097, 0.023, -3.013]",data_all/cross7/depth_align_cross7/1713315031523_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713284904609.png,"[0.05, 0.279, -5.691]",data_all/cross7/depth_align_cross7/1713284920364_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713314352161.png,"[0.048, -0.1, -1.609]",data_all/cross7/depth_align_cross7/1713314380942_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713290218078.png,"[-0.062, -0.057, -11.412]",data_all/cross7/depth_align_cross7/1713290221984_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713310792710.png,"[-0.053, 0.048, -2.192]",data_all/cross7/depth_align_cross7/1713310816458_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713315841630.png,"[-0.136, 0.27, -8.0]",data_all/cross7/depth_align_cross7/1713315852814_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713288514963.png,"[-0.088, 0.076, -1.425]",data_all/cross7/depth_align_cross7/1713288530834_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713310115318.png,"[-0.198, 0.895, -11.854]",data_all/cross7/depth_align_cross7/1713310115318_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713317184553.png,"[-0.049, -0.042, -1.583]",data_all/cross7/depth_align_cross7/1713317210912_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713289350828.png,"[0.007, 0.614, -7.593]",data_all/cross7/depth_align_cross7/1713289358744_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713288480071.png,"[-0.099, 0.325, -5.524]",data_all/cross7/depth_align_cross7/1713288491987_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713296951925.png,"[-0.013, -0.01, -3.186]",data_all/cross7/depth_align_cross7/1713296971809_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713301923512.png,"[-0.056, 0.188, -5.156]",data_all/cross7/depth_align_cross7/1713301942556_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713305465371.png,"[-0.227, 0.297, -5.884]",data_all/cross7/depth_align_cross7/1713305476796_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713320548106.png,"[-0.219, 0.591, -10.11]",data_all/cross7/depth_align_cross7/1713320551866_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713304034512.png,"[0.504, 0.206, -11.334]",data_all/cross7/depth_align_cross7/1713304034512_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713305859554.png,"[0.005, -0.005, -1.131]",data_all/cross7/depth_align_cross7/1713305886011_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713307009873.png,"[0.085, 0.052, -2.097]",data_all/cross7/depth_align_cross7/1713307036989_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713311384932.png,"[-0.072, 0.193, -8.291]",data_all/cross7/depth_align_cross7/1713311392546_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713300275364.png,"[-0.128, 0.023, -2.552]",data_all/cross7/depth_align_cross7/1713300299714_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713294504718.png,"[-0.473, 0.195, -9.494]",data_all/cross7/depth_align_cross7/1713294509027_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713297390200.png,"[0.425, 0.405, -8.486]",data_all/cross7/depth_align_cross7/1713297401914_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713283609064.png,"[-0.113, 0.151, -3.441]",data_all/cross7/depth_align_cross7/1713283625279_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713299232645.png,"[-0.089, 0.26, -3.799]",data_all/cross7/depth_align_cross7/1713299248979_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713319098568.png,"[0.046, -0.108, -3.039]",data_all/cross7/depth_align_cross7/1713319122879_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713330374398.png,"[0.077, -0.001, -1.837]",data_all/cross7/depth_align_cross7/1713330397135_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713330173436.png,"[0.091, -0.11, -5.609]",data_all/cross7/depth_align_cross7/1713330188769_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713287826463.png,"[0.303, 0.156, -4.328]",data_all/cross7/depth_align_cross7/1713287842438_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713296308474.png,"[0.068, 0.097, -7.623]",data_all/cross7/depth_align_cross7/1713296320292_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713296909648.png,"[-0.002, -0.138, -3.897]",data_all/cross7/depth_align_cross7/1713296929234_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713287692707.png,"[-0.034, 0.05, -1.703]",data_all/cross7/depth_align_cross7/1713287712636_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713299189156.png,"[0.034, 0.291, -4.28]",data_all/cross7/depth_align_cross7/1713299204990_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713326770540.png,"[-0.228, 0.227, -11.89]",data_all/cross7/depth_align_cross7/1713326774348_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713295849462.png,"[0.014, 0.123, -3.849]",data_all/cross7/depth_align_cross7/1713295874699_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713326052021.png,"[-0.247, 0.204, -5.512]",data_all/cross7/depth_align_cross7/1713326067349_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713299097564.png,"[0.126, -0.156, -3.479]",data_all/cross7/depth_align_cross7/1713299117403_depth_align.npy
