object,image,force,reference_image
Cross,data_all/cross7/tactile_nobg/1713284442432.png,"[-0.023, 0.608, -11.199]",data_all/cross7/tactile_nobg/1713284406737.png
Cross,data_all/cross7/tactile_nobg/1713296435027.png,"[-0.095, -0.152, -5.563]",data_all/cross7/tactile_nobg/1713296422807.png
Cross,data_all/cross7/tactile_nobg/1713311669464.png,"[-0.126, -0.085, -7.443]",data_all/cross7/tactile_nobg/1713311673221.png
Cross,data_all/cross7/tactile_nobg/1713318120687.png,"[0.185, 0.555, -10.541]",data_all/cross7/tactile_nobg/1713318112622.png
Cross,data_all/cross7/tactile_nobg/1713318948981.png,"[0.335, 0.046, -12.695]",data_all/cross7/tactile_nobg/1713318936798.png
Cross,data_all/cross7/tactile_nobg/1713314762882.png,"[0.227, 0.046, -7.381]",data_all/cross7/tactile_nobg/1713314766942.png
Cross,data_all/cross7/tactile_nobg/1713321664470.png,"[-0.08, 0.455, -8.9]",data_all/cross7/tactile_nobg/1713321656802.png
Cross,data_all/cross7/tactile_nobg/1713329013219.png,"[0.238, 0.067, -9.659]",data_all/cross7/tactile_nobg/1713328993884.png
Cross,data_all/cross7/tactile_nobg/1713329753412.png,"[0.062, 0.107, -2.151]",data_all/cross7/tactile_nobg/1713329768738.png
Cross,data_all/cross7/tactile_nobg/1713297350488.png,"[0.138, 0.101, -7.654]",data_all/cross7/tactile_nobg/1713297358449.png
Cross,data_all/cross7/tactile_nobg/1713317541290.png,"[0.034, 0.108, -3.546]",data_all/cross7/tactile_nobg/1713317537282.png
Cross,data_all/cross7/tactile_nobg/1713287920770.png,"[0.38, 0.11, -6.326]",data_all/cross7/tactile_nobg/1713287913006.png
Cross,data_all/cross7/tactile_nobg/1713289551093.png,"[-0.039, 0.016, -1.816]",data_all/cross7/tactile_nobg/1713289546888.png
Cross,data_all/cross7/tactile_nobg/1713296644793.png,"[0.008, 0.097, -1.624]",data_all/cross7/tactile_nobg/1713296648897.png
Cross,data_all/cross7/tactile_nobg/1713299941709.png,"[-0.173, 0.32, -5.523]",data_all/cross7/tactile_nobg/1713299937753.png
Cross,data_all/cross7/tactile_nobg/1713287212671.png,"[0.294, 0.223, -4.499]",data_all/cross7/tactile_nobg/1713287225440.png
Cross,data_all/cross7/tactile_nobg/1713300794445.png,"[-0.059, -0.003, -1.788]",data_all/cross7/tactile_nobg/1713300822348.png
Cross,data_all/cross7/tactile_nobg/1713327181493.png,"[0.132, 0.717, -11.386]",data_all/cross7/tactile_nobg/1713327177582.png
Cross,data_all/cross7/tactile_nobg/1713294797531.png,"[-0.067, -0.027, -0.899]",data_all/cross7/tactile_nobg/1713294814411.png
Cross,data_all/cross7/tactile_nobg/1713302237543.png,"[-0.063, 0.179, -6.934]",data_all/cross7/tactile_nobg/1713302245013.png
Cross,data_all/cross7/tactile_nobg/1713315931592.png,"[-0.304, 0.399, -11.06]",data_all/cross7/tactile_nobg/1713315916253.png
Cross,data_all/cross7/tactile_nobg/1713295187258.png,"[-0.174, 0.612, -8.132]",data_all/cross7/tactile_nobg/1713295174687.png
Cross,data_all/cross7/tactile_nobg/1713290714808.png,"[-0.036, 0.005, -1.159]",data_all/cross7/tactile_nobg/1713290726727.png
Cross,data_all/cross7/tactile_nobg/1713295492284.png,"[-0.167, 0.068, -4.524]",data_all/cross7/tactile_nobg/1713295508960.png
Cross,data_all/cross7/tactile_nobg/1713301997170.png,"[-0.112, 0.179, -5.573]",data_all/cross7/tactile_nobg/1713301981686.png
Cross,data_all/cross7/tactile_nobg/1713293331602.png,"[0.124, 0.065, -3.011]",data_all/cross7/tactile_nobg/1713293340112.png
Cross,data_all/cross7/tactile_nobg/1713313092137.png,"[0.023, -0.215, -11.864]",data_all/cross7/tactile_nobg/1713313079859.png
Cross,data_all/cross7/tactile_nobg/1713297604338.png,"[0.118, -0.024, -6.587]",data_all/cross7/tactile_nobg/1713297580653.png
Cross,data_all/cross7/tactile_nobg/1713306620982.png,"[-0.022, 0.183, -12.027]",data_all/cross7/tactile_nobg/1713306602037.png
Cross,data_all/cross7/tactile_nobg/1713307395473.png,"[0.175, 0.307, -5.753]",data_all/cross7/tactile_nobg/1713307379432.png
Cross,data_all/cross7/tactile_nobg/1713306001833.png,"[-0.085, 0.834, -8.838]",data_all/cross7/tactile_nobg/1713305998075.png
Cross,data_all/cross7/tactile_nobg/1713318984670.png,"[0.395, 0.4, -8.076]",data_all/cross7/tactile_nobg/1713318988532.png
Cross,data_all/cross7/tactile_nobg/1713329727019.png,"[0.152, -0.225, -11.123]",data_all/cross7/tactile_nobg/1713329703982.png
Cross,data_all/cross7/tactile_nobg/1713290348927.png,"[0.087, 0.309, -10.232]",data_all/cross7/tactile_nobg/1713290328993.png
Cross,data_all/cross7/tactile_nobg/1713308158681.png,"[-0.038, -0.048, -1.404]",data_all/cross7/tactile_nobg/1713308162741.png
Cross,data_all/cross7/tactile_nobg/1713290943905.png,"[0.069, 0.256, -5.198]",data_all/cross7/tactile_nobg/1713290939997.png
Cross,data_all/cross7/tactile_nobg/1713324648780.png,"[0.16, 0.056, -2.364]",data_all/cross7/tactile_nobg/1713324656897.png
Cross,data_all/cross7/tactile_nobg/1713326222208.png,"[-0.131, 0.258, -5.364]",data_all/cross7/tactile_nobg/1713326226015.png
Cross,data_all/cross7/tactile_nobg/1713296099567.png,"[-0.555, 0.302, -17.973]",data_all/cross7/tactile_nobg/1713296068764.png
Cross,data_all/cross7/tactile_nobg/1713312470197.png,"[0.499, 0.932, -15.27]",data_all/cross7/tactile_nobg/1713312466238.png
Cross,data_all/cross7/tactile_nobg/1713311508924.png,"[0.006, 0.72, -8.733]",data_all/cross7/tactile_nobg/1713311501214.png
Cross,data_all/cross7/tactile_nobg/1713287798614.png,"[0.254, -0.267, -9.857]",data_all/cross7/tactile_nobg/1713287778683.png
Cross,data_all/cross7/tactile_nobg/1713287755349.png,"[0.285, -0.217, -8.431]",data_all/cross7/tactile_nobg/1713287751242.png
Cross,data_all/cross7/tactile_nobg/1713296792883.png,"[0.23, 0.613, -11.333]",data_all/cross7/tactile_nobg/1713296788776.png
Cross,data_all/cross7/tactile_nobg/1713289303727.png,"[-0.107, 0.144, -4.82]",data_all/cross7/tactile_nobg/1713289315453.png
Cross,data_all/cross7/tactile_nobg/1713295125049.png,"[-0.068, 0.002, -3.115]",data_all/cross7/tactile_nobg/1713295120842.png
Cross,data_all/cross7/tactile_nobg/1713303478634.png,"[0.208, 0.291, -7.338]",data_all/cross7/tactile_nobg/1713303486258.png
Cross,data_all/cross7/tactile_nobg/1713306534826.png,"[0.038, 0.705, -10.091]",data_all/cross7/tactile_nobg/1713306523599.png
Cross,data_all/cross7/tactile_nobg/1713323256749.png,"[0.003, 0.05, -0.785]",data_all/cross7/tactile_nobg/1713323277158.png
Cross,data_all/cross7/tactile_nobg/1713329844276.png,"[0.283, 0.002, -6.136]",data_all/cross7/tactile_nobg/1713329832601.png
Cross,data_all/cross7/tactile_nobg/1713305140590.png,"[0.322, -0.201, -8.624]",data_all/cross7/tactile_nobg/1713305133073.png
Cross,data_all/cross7/tactile_nobg/1713297257192.png,"[0.022, -0.113, -6.03]",data_all/cross7/tactile_nobg/1713297253087.png
Cross,data_all/cross7/tactile_nobg/1713298083280.png,"[0.39, -0.012, -11.915]",data_all/cross7/tactile_nobg/1713298067253.png
Cross,data_all/cross7/tactile_nobg/1713303938985.png,"[0.348, 0.163, -7.292]",data_all/cross7/tactile_nobg/1713303942842.png
Cross,data_all/cross7/tactile_nobg/1713304221338.png,"[0.053, 0.017, -1.323]",data_all/cross7/tactile_nobg/1713304240880.png
Cross,data_all/cross7/tactile_nobg/1713312751048.png,"[0.134, -0.108, -13.511]",data_all/cross7/tactile_nobg/1713312743182.png
Cross,data_all/cross7/tactile_nobg/1713310669078.png,"[0.002, 0.029, -1.936]",data_all/cross7/tactile_nobg/1713310676842.png
Cross,data_all/cross7/tactile_nobg/1713324609194.png,"[0.04, 0.12, -4.575]",data_all/cross7/tactile_nobg/1713324613353.png
Cross,data_all/cross7/tactile_nobg/1713313130837.png,"[0.559, 0.61, -9.556]",data_all/cross7/tactile_nobg/1713313126977.png
Cross,data_all/cross7/tactile_nobg/1713284399929.png,"[-0.2, 0.669, -12.533]",data_all/cross7/tactile_nobg/1713284396026.png
Cross,data_all/cross7/tactile_nobg/1713306392480.png,"[-0.028, 0.043, -0.924]",data_all/cross7/tactile_nobg/1713306400047.png
Cross,data_all/cross7/tactile_nobg/1713324858273.png,"[-0.049, -0.109, -1.03]",data_all/cross7/tactile_nobg/1713324870498.png
Cross,data_all/cross7/tactile_nobg/1713302723546.png,"[0.087, -0.022, -4.886]",data_all/cross7/tactile_nobg/1713302715774.png
Cross,data_all/cross7/tactile_nobg/1713327290283.png,"[-0.03, 0.018, -2.479]",data_all/cross7/tactile_nobg/1713327301656.png
Cross,data_all/cross7/tactile_nobg/1713305681048.png,"[-0.128, 0.972, -11.589]",data_all/cross7/tactile_nobg/1713305665965.png
Cross,data_all/cross7/tactile_nobg/1713330595823.png,"[0.157, -0.3, -4.825]",data_all/cross7/tactile_nobg/1713330599780.png
Cross,data_all/cross7/tactile_nobg/1713323469019.png,"[-0.073, -0.212, -3.768]",data_all/cross7/tactile_nobg/1713323477139.png
Cross,data_all/cross7/tactile_nobg/1713303901195.png,"[0.406, 0.661, -8.787]",data_all/cross7/tactile_nobg/1713303897435.png
Cross,data_all/cross7/tactile_nobg/1713299236703.png,"[-0.076, 0.375, -5.333]",data_all/cross7/tactile_nobg/1713299248979.png
Cross,data_all/cross7/tactile_nobg/1713313871978.png,"[0.169, -0.331, -14.977]",data_all/cross7/tactile_nobg/1713313848523.png
Cross,data_all/cross7/tactile_nobg/1713291889739.png,"[0.099, -0.08, -1.962]",data_all/cross7/tactile_nobg/1713291905564.png
Cross,data_all/cross7/tactile_nobg/1713307774381.png,"[0.102, -0.06, -4.717]",data_all/cross7/tactile_nobg/1713307770271.png
Cross,data_all/cross7/tactile_nobg/1713290683604.png,"[-0.116, 0.163, -3.456]",data_all/cross7/tactile_nobg/1713290699532.png
Cross,data_all/cross7/tactile_nobg/1713309642982.png,"[0.07, -0.103, -1.833]",data_all/cross7/tactile_nobg/1713309646790.png
Cross,data_all/cross7/tactile_nobg/1713290656763.png,"[0.172, 0.589, -11.288]",data_all/cross7/tactile_nobg/1713290632931.png
Cross,data_all/cross7/tactile_nobg/1713321630442.png,"[-0.011, 0.617, -10.769]",data_all/cross7/tactile_nobg/1713321634301.png
Cross,data_all/cross7/tactile_nobg/1713305953214.png,"[-0.04, 0.266, -5.445]",data_all/cross7/tactile_nobg/1713305945142.png
Cross,data_all/cross7/tactile_nobg/1713295315469.png,"[-0.026, 0.276, -6.37]",data_all/cross7/tactile_nobg/1713295323683.png
Cross,data_all/cross7/tactile_nobg/1713304148864.png,"[0.28, 0.127, -6.909]",data_all/cross7/tactile_nobg/1713304152773.png
Cross,data_all/cross7/tactile_nobg/1713328409768.png,"[0.015, 0.063, -1.268]",data_all/cross7/tactile_nobg/1713328417784.png
Cross,data_all/cross7/tactile_nobg/1713297686420.png,"[0.273, 0.33, -5.727]",data_all/cross7/tactile_nobg/1713297702446.png
Cross,data_all/cross7/tactile_nobg/1713297179318.png,"[0.266, -0.026, -10.11]",data_all/cross7/tactile_nobg/1713297187383.png
Cross,data_all/cross7/tactile_nobg/1713303132169.png,"[-0.044, -0.02, -2.87]",data_all/cross7/tactile_nobg/1713303143851.png
Cross,data_all/cross7/tactile_nobg/1713297307868.png,"[0.16, 0.17, -7.809]",data_all/cross7/tactile_nobg/1713297311825.png
Cross,data_all/cross7/tactile_nobg/1713321942844.png,"[0.034, 0.151, -3.221]",data_all/cross7/tactile_nobg/1713321935125.png
Cross,data_all/cross7/tactile_nobg/1713288763834.png,"[0.001, -0.005, -0.101]",data_all/cross7/tactile_nobg/1713288787974.png
Cross,data_all/cross7/tactile_nobg/1713328687997.png,"[0.256, 0.601, -14.868]",data_all/cross7/tactile_nobg/1713328661140.png
Cross,data_all/cross7/tactile_nobg/1713316511165.png,"[-0.175, 0.629, -14.023]",data_all/cross7/tactile_nobg/1713316503495.png
Cross,data_all/cross7/tactile_nobg/1713310754986.png,"[-0.01, -0.008, -3.537]",data_all/cross7/tactile_nobg/1713310751229.png
Cross,data_all/cross7/tactile_nobg/1713308308394.png,"[0.414, 0.456, -14.211]",data_all/cross7/tactile_nobg/1713308288508.png
Cross,data_all/cross7/tactile_nobg/1713289130219.png,"[-0.066, 0.111, -5.42]",data_all/cross7/tactile_nobg/1713289118148.png
Cross,data_all/cross7/tactile_nobg/1713328281626.png,"[-0.012, -0.019, -0.364]",data_all/cross7/tactile_nobg/1713328305081.png
Cross,data_all/cross7/tactile_nobg/1713329119067.png,"[-0.062, -0.15, -1.825]",data_all/cross7/tactile_nobg/1713329115212.png
Cross,data_all/cross7/tactile_nobg/1713297120174.png,"[0.094, -0.007, -2.195]",data_all/cross7/tactile_nobg/1713297136000.png
Cross,data_all/cross7/tactile_nobg/1713293522121.png,"[0.358, 0.349, -7.524]",data_all/cross7/tactile_nobg/1713293517864.png
Cross,data_all/cross7/tactile_nobg/1713329058709.png,"[0.339, 0.176, -10.58]",data_all/cross7/tactile_nobg/1713329054901.png
Cross,data_all/cross7/tactile_nobg/1713302388792.png,"[0.251, 0.56, -14.364]",data_all/cross7/tactile_nobg/1713302361076.png
Cross,data_all/cross7/tactile_nobg/1713291488031.png,"[-0.003, -0.018, 0.058]",data_all/cross7/tactile_nobg/1713291504160.png
Cross,data_all/cross7/tactile_nobg/1713311392546.png,"[-0.172, 0.429, -12.332]",data_all/cross7/tactile_nobg/1713311381176.png
Cross,data_all/cross7/tactile_nobg/1713309276480.png,"[0.164, 0.062, -3.052]",data_all/cross7/tactile_nobg/1713309284100.png
Cross,data_all/cross7/tactile_nobg/1713319319848.png,"[0.051, 0.126, -2.649]",data_all/cross7/tactile_nobg/1713319315837.png
Cross,data_all/cross7/tactile_nobg/1713286319395.png,"[-0.03, 0.208, -7.095]",data_all/cross7/tactile_nobg/1713286327556.png
Cross,data_all/cross7/tactile_nobg/1713288188521.png,"[0.602, 0.312, -8.018]",data_all/cross7/tactile_nobg/1713288184564.png
Cross,data_all/cross7/tactile_nobg/1713306347477.png,"[0.001, -0.022, -1.07]",data_all/cross7/tactile_nobg/1713306354896.png
Cross,data_all/cross7/tactile_nobg/1713327503219.png,"[-0.191, 0.086, -4.813]",data_all/cross7/tactile_nobg/1713327491341.png
Cross,data_all/cross7/tactile_nobg/1713298538557.png,"[0.013, -0.261, -2.795]",data_all/cross7/tactile_nobg/1713298558542.png
Cross,data_all/cross7/tactile_nobg/1713296812218.png,"[-0.027, -0.011, -0.733]",data_all/cross7/tactile_nobg/1713296843720.png
Cross,data_all/cross7/tactile_nobg/1713316170616.png,"[-0.195, 0.411, -8.543]",data_all/cross7/tactile_nobg/1713316166855.png
Cross,data_all/cross7/tactile_nobg/1713290277461.png,"[-0.009, -0.013, -0.41]",data_all/cross7/tactile_nobg/1713290285422.png
Cross,data_all/cross7/tactile_nobg/1713297900280.png,"[0.251, -0.191, -5.191]",data_all/cross7/tactile_nobg/1713297904288.png
Cross,data_all/cross7/tactile_nobg/1713292380694.png,"[0.351, 0.047, -6.403]",data_all/cross7/tactile_nobg/1713292376638.png
Cross,data_all/cross7/tactile_nobg/1713330230500.png,"[0.476, 0.047, -11.271]",data_all/cross7/tactile_nobg/1713330207355.png
Cross,data_all/cross7/tactile_nobg/1713288913149.png,"[-0.133, 0.129, -2.915]",data_all/cross7/tactile_nobg/1713288925022.png
Cross,data_all/cross7/tactile_nobg/1713326263639.png,"[-0.08, 0.427, -4.581]",data_all/cross7/tactile_nobg/1713326259880.png
Cross,data_all/cross7/tactile_nobg/1713295092043.png,"[-0.214, 0.365, -7.95]",data_all/cross7/tactile_nobg/1713295074918.png
Cross,data_all/cross7/tactile_nobg/1713305926997.png,"[-0.307, 0.859, -14.444]",data_all/cross7/tactile_nobg/1713305900692.png
Cross,data_all/cross7/tactile_nobg/1713311958156.png,"[0.021, 0.196, -5.718]",data_all/cross7/tactile_nobg/1713311954450.png
Cross,data_all/cross7/tactile_nobg/1713317943072.png,"[0.048, 0.056, -6.981]",data_all/cross7/tactile_nobg/1713317939014.png
Cross,data_all/cross7/tactile_nobg/1713320783138.png,"[-0.067, 0.253, -4.758]",data_all/cross7/tactile_nobg/1713320775521.png
Cross,data_all/cross7/tactile_nobg/1713297479367.png,"[0.177, 0.075, -7.139]",data_all/cross7/tactile_nobg/1713297467551.png
Cross,data_all/cross7/tactile_nobg/1713299444241.png,"[-0.093, 0.022, -1.529]",data_all/cross7/tactile_nobg/1713299452101.png
Cross,data_all/cross7/tactile_nobg/1713287657764.png,"[0.201, -0.03, -4.246]",data_all/cross7/tactile_nobg/1713287665823.png
Cross,data_all/cross7/tactile_nobg/1713291384654.png,"[0.152, -0.002, -9.04]",data_all/cross7/tactile_nobg/1713291392718.png
Cross,data_all/cross7/tactile_nobg/1713315223387.png,"[0.066, -0.11, -2.441]",data_all/cross7/tactile_nobg/1713315219278.png
Cross,data_all/cross7/tactile_nobg/1713291480517.png,"[0.549, 0.788, -13.41]",data_all/cross7/tactile_nobg/1713291476358.png
Cross,data_all/cross7/tactile_nobg/1713286774253.png,"[0.198, -0.03, -9.549]",data_all/cross7/tactile_nobg/1713286761587.png
Cross,data_all/cross7/tactile_nobg/1713321577207.png,"[-0.195, 0.066, -6.805]",data_all/cross7/tactile_nobg/1713321561919.png
Cross,data_all/cross7/tactile_nobg/1713327619968.png,"[0.012, 0.065, -1.557]",data_all/cross7/tactile_nobg/1713327631441.png
Cross,data_all/cross7/tactile_nobg/1713321709474.png,"[0.018, 0.55, -8.081]",data_all/cross7/tactile_nobg/1713321686970.png
Cross,data_all/cross7/tactile_nobg/1713310107654.png,"[-0.158, 0.537, -8.588]",data_all/cross7/tactile_nobg/1713310103847.png
Cross,data_all/cross7/tactile_nobg/1713325027840.png,"[0.006, -0.012, 0.084]",data_all/cross7/tactile_nobg/1713325056544.png
Cross,data_all/cross7/tactile_nobg/1713308546484.png,"[-0.047, 0.006, -1.89]",data_all/cross7/tactile_nobg/1713308542525.png
Cross,data_all/cross7/tactile_nobg/1713330340347.png,"[0.121, 0.14, -2.831]",data_all/cross7/tactile_nobg/1713330351814.png
Cross,data_all/cross7/tactile_nobg/1713300019618.png,"[-0.08, -0.123, -4.47]",data_all/cross7/tactile_nobg/1713300031586.png
Cross,data_all/cross7/tactile_nobg/1713299863290.png,"[-0.022, 0.63, -8.216]",data_all/cross7/tactile_nobg/1713299847357.png
Cross,data_all/cross7/tactile_nobg/1713286716531.png,"[0.097, -0.068, -5.45]",data_all/cross7/tactile_nobg/1713286708170.png
Cross,data_all/cross7/tactile_nobg/1713291559342.png,"[0.326, 0.017, -7.166]",data_all/cross7/tactile_nobg/1713291567355.png
Cross,data_all/cross7/tactile_nobg/1713309366215.png,"[0.314, 0.251, -6.069]",data_all/cross7/tactile_nobg/1713309358803.png
Cross,data_all/cross7/tactile_nobg/1713297865321.png,"[0.179, -0.006, -8.411]",data_all/cross7/tactile_nobg/1713297849497.png
Cross,data_all/cross7/tactile_nobg/1713323389865.png,"[-0.069, -0.059, -2.188]",data_all/cross7/tactile_nobg/1713323385804.png
Cross,data_all/cross7/tactile_nobg/1713299593262.png,"[-0.067, 0.506, -6.725]",data_all/cross7/tactile_nobg/1713299571720.png
Cross,data_all/cross7/tactile_nobg/1713285254286.png,"[0.096, 0.159, -2.036]",data_all/cross7/tactile_nobg/1713285258339.png
Cross,data_all/cross7/tactile_nobg/1713296029204.png,"[0.007, 0.074, -1.895]",data_all/cross7/tactile_nobg/1713296053342.png
Cross,data_all/cross7/tactile_nobg/1713319905603.png,"[0.034, -0.003, -1.801]",data_all/cross7/tactile_nobg/1713319913271.png
Cross,data_all/cross7/tactile_nobg/1713292291942.png,"[0.145, -0.225, -6.318]",data_all/cross7/tactile_nobg/1713292287635.png
Cross,data_all/cross7/tactile_nobg/1713300599513.png,"[-0.164, 0.402, -10.595]",data_all/cross7/tactile_nobg/1713300603470.png
Cross,data_all/cross7/tactile_nobg/1713325565588.png,"[0.307, -0.134, -9.79]",data_all/cross7/tactile_nobg/1713325534781.png
Cross,data_all/cross7/tactile_nobg/1713291720088.png,"[0.079, -0.152, -2.266]",data_all/cross7/tactile_nobg/1713291724143.png
Cross,data_all/cross7/tactile_nobg/1713291680934.png,"[0.017, -0.05, -4.277]",data_all/cross7/tactile_nobg/1713291692901.png
Cross,data_all/cross7/tactile_nobg/1713321550942.png,"[-0.291, 0.339, -14.664]",data_all/cross7/tactile_nobg/1713321547184.png
Cross,data_all/cross7/tactile_nobg/1713308112134.png,"[0.046, -0.079, -1.719]",data_all/cross7/tactile_nobg/1713308116091.png
Cross,data_all/cross7/tactile_nobg/1713321373877.png,"[0.023, 0.504, -7.867]",data_all/cross7/tactile_nobg/1713321358583.png
Cross,data_all/cross7/tactile_nobg/1713317848620.png,"[0.035, -0.046, -3.708]",data_all/cross7/tactile_nobg/1713317856736.png
Cross,data_all/cross7/tactile_nobg/1713318676320.png,"[0.144, 0.088, -3.947]",data_all/cross7/tactile_nobg/1713318672413.png
Cross,data_all/cross7/tactile_nobg/1713324178751.png,"[0.312, 0.18, -7.176]",data_all/cross7/tactile_nobg/1713324174693.png
Cross,data_all/cross7/tactile_nobg/1713319822912.png,"[-0.029, -0.127, -1.531]",data_all/cross7/tactile_nobg/1713319845720.png
Cross,data_all/cross7/tactile_nobg/1713320630952.png,"[-0.374, 0.545, -10.587]",data_all/cross7/tactile_nobg/1713320627093.png
Cross,data_all/cross7/tactile_nobg/1713320528254.png,"[-0.007, -0.011, -2.111]",data_all/cross7/tactile_nobg/1713320536426.png
Cross,data_all/cross7/tactile_nobg/1713287262696.png,"[0.185, 0.153, -5.807]",data_all/cross7/tactile_nobg/1713287258591.png
Cross,data_all/cross7/tactile_nobg/1713323596748.png,"[0.084, -0.028, -3.272]",data_all/cross7/tactile_nobg/1713323608930.png
Cross,data_all/cross7/tactile_nobg/1713303611761.png,"[0.331, 0.458, -10.016]",data_all/cross7/tactile_nobg/1713303615573.png
Cross,data_all/cross7/tactile_nobg/1713306661793.png,"[-0.121, 0.324, -12.817]",data_all/cross7/tactile_nobg/1713306654124.png
Cross,data_all/cross7/tactile_nobg/1713284293984.png,"[-0.046, 0.087, -3.716]",data_all/cross7/tactile_nobg/1713284282322.png
Cross,data_all/cross7/tactile_nobg/1713286130334.png,"[-0.052, -0.056, -3.18]",data_all/cross7/tactile_nobg/1713286122075.png
Cross,data_all/cross7/tactile_nobg/1713315027511.png,"[0.45, -0.074, -10.809]",data_all/cross7/tactile_nobg/1713315011361.png
Cross,data_all/cross7/tactile_nobg/1713312168787.png,"[-0.077, 0.49, -10.113]",data_all/cross7/tactile_nobg/1713312149707.png
Cross,data_all/cross7/tactile_nobg/1713328584929.png,"[0.127, 0.114, -3.421]",data_all/cross7/tactile_nobg/1713328600412.png
Cross,data_all/cross7/tactile_nobg/1713312688199.png,"[0.049, -0.039, -2.773]",data_all/cross7/tactile_nobg/1713312684141.png
Cross,data_all/cross7/tactile_nobg/1713307876016.png,"[0.074, 0.24, -11.886]",data_all/cross7/tactile_nobg/1713307852065.png
Cross,data_all/cross7/tactile_nobg/1713315758132.png,"[-0.275, 0.372, -8.124]",data_all/cross7/tactile_nobg/1713315766208.png
Cross,data_all/cross7/tactile_nobg/1713307430656.png,"[0.138, 0.05, -4.329]",data_all/cross7/tactile_nobg/1713307442736.png
Cross,data_all/cross7/tactile_nobg/1713326830221.png,"[0.005, -0.018, -1.348]",data_all/cross7/tactile_nobg/1713326837789.png
Cross,data_all/cross7/tactile_nobg/1713308511648.png,"[0.143, -0.014, -5.184]",data_all/cross7/tactile_nobg/1713308499672.png
Cross,data_all/cross7/tactile_nobg/1713302773037.png,"[0.021, 0.302, -8.993]",data_all/cross7/tactile_nobg/1713302769076.png
Cross,data_all/cross7/tactile_nobg/1713309444116.png,"[0.074, -0.096, -5.256]",data_all/cross7/tactile_nobg/1713309447824.png
Cross,data_all/cross7/tactile_nobg/1713325445435.png,"[0.745, 0.251, -12.861]",data_all/cross7/tactile_nobg/1713325430111.png
Cross,data_all/cross7/tactile_nobg/1713306820143.png,"[0.052, 0.226, -10.884]",data_all/cross7/tactile_nobg/1713306827611.png
Cross,data_all/cross7/tactile_nobg/1713289704839.png,"[-0.025, 0.951, -13.063]",data_all/cross7/tactile_nobg/1713289696877.png
Cross,data_all/cross7/tactile_nobg/1713329085308.png,"[0.071, 0.019, -3.272]",data_all/cross7/tactile_nobg/1713329081501.png
Cross,data_all/cross7/tactile_nobg/1713294984080.png,"[0.017, 0.081, -1.061]",data_all/cross7/tactile_nobg/1713294988187.png
Cross,data_all/cross7/tactile_nobg/1713294504718.png,"[-0.473, 0.195, -9.494]",data_all/cross7/tactile_nobg/1713294479471.png
Cross,data_all/cross7/tactile_nobg/1713298839281.png,"[-0.022, -0.018, -2.095]",data_all/cross7/tactile_nobg/1713298843391.png
Cross,data_all/cross7/tactile_nobg/1713310650494.png,"[-0.107, 0.667, -9.154]",data_all/cross7/tactile_nobg/1713310627553.png
Cross,data_all/cross7/tactile_nobg/1713326006694.png,"[-0.094, 0.126, -4.229]",data_all/cross7/tactile_nobg/1713325995228.png
Cross,data_all/cross7/tactile_nobg/1713312419243.png,"[-0.145, -0.271, -12.322]",data_all/cross7/tactile_nobg/1713312415235.png
Cross,data_all/cross7/tactile_nobg/1713293290440.png,"[0.15, 0.092, -6.774]",data_all/cross7/tactile_nobg/1713293298903.png
Cross,data_all/cross7/tactile_nobg/1713309694833.png,"[0.139, 0.224, -4.997]",data_all/cross7/tactile_nobg/1713309679902.png
Cross,data_all/cross7/tactile_nobg/1713285115250.png,"[0.013, 0.053, -1.333]",data_all/cross7/tactile_nobg/1713285127407.png
Cross,data_all/cross7/tactile_nobg/1713306890176.png,"[0.012, 0.129, -2.623]",data_all/cross7/tactile_nobg/1713306909120.png
Cross,data_all/cross7/tactile_nobg/1713324494571.png,"[0.658, 0.577, -11.528]",data_all/cross7/tactile_nobg/1713324486453.png
Cross,data_all/cross7/tactile_nobg/1713313052698.png,"[0.013, 0.237, -14.186]",data_all/cross7/tactile_nobg/1713313033004.png
Cross,data_all/cross7/tactile_nobg/1713321260367.png,"[-0.596, 0.152, -14.913]",data_all/cross7/tactile_nobg/1713321233137.png
Cross,data_all/cross7/tactile_nobg/1713327657646.png,"[0.002, -0.016, -0.604]",data_all/cross7/tactile_nobg/1713327661455.png
Cross,data_all/cross7/tactile_nobg/1713312364841.png,"[-0.057, -0.023, -4.222]",data_all/cross7/tactile_nobg/1713312384428.png
Cross,data_all/cross7/tactile_nobg/1713314641335.png,"[0.73, 0.358, -14.429]",data_all/cross7/tactile_nobg/1713314629151.png
Cross,data_all/cross7/tactile_nobg/1713324003271.png,"[0.056, 0.034, -5.975]",data_all/cross7/tactile_nobg/1713323999161.png
Cross,data_all/cross7/tactile_nobg/1713283817089.png,"[-0.149, -0.132, -1.476]",data_all/cross7/tactile_nobg/1713283805031.png
Cross,data_all/cross7/tactile_nobg/1713317151135.png,"[-0.068, 0.061, -4.361]",data_all/cross7/tactile_nobg/1713317154942.png
Cross,data_all/cross7/tactile_nobg/1713287575168.png,"[0.155, 0.114, -5.937]",data_all/cross7/tactile_nobg/1713287583276.png
Cross,data_all/cross7/tactile_nobg/1713291112491.png,"[0.012, 0.065, -2.246]",data_all/cross7/tactile_nobg/1713291128568.png
Cross,data_all/cross7/tactile_nobg/1713315953647.png,"[-0.09, -0.064, -2.139]",data_all/cross7/tactile_nobg/1713315957456.png
